Date/Time,Word Count,en,ru
2023.08.07-10.11.54,122,122,0
2023.08.07-10.41.14,123,123,0
2023.08.07-10.42.54,122,122,0
2023.08.07-10.51.45,108,108,0
2023.08.07-10.57.02,105,105,19
2023.08.07-11.01.29,104,104,37
2023.08.07-11.05.40,104,104,42
2023.08.07-11.10.06,101,101,78
2023.08.07-11.46.01,117,117,78
2023.08.07-12.01.09,117,117,115
2023.08.07-12.01.31,117,117,117
2023.08.07-15.52.11,121,121,109
2023.08.07-15.53.52,125,125,119
2023.08.07-15.56.05,136,136,124
2023.08.07-15.57.46,136,136,135
2023.08.07-16.25.43,138,138,135
2023.08.07-16.26.21,138,138,138
2023.08.07-16.35.26,137,137,136
2023.08.07-16.35.55,137,137,137
2023.09.19-18.56.48,128,128,62
2023.09.19-19.16.31,128,128,101
2023.09.19-19.17.00,128,128,112
2023.09.19-19.17.16,113,113,112
2023.09.19-19.17.48,113,113,113
2023.09.20-10.51.17,140,140,113
2023.09.20-10.54.14,140,140,140
2023.09.20-15.43.58,151,151,140
2023.09.20-15.46.31,151,151,151
